Order ID,Order Date,Customer ID,Customer Name,Product ID,Product Name,Category,Sub-Category,Region,Country,Sales Amount,Quantity,Unit Price,Discount,Profit,Cost,Shipping Cost,Payment Method,Invoice Status,Return Status,Shipping Date,Delivery Status
ORD0013,2024-04-14,ffc5c081-da5a-4e53-b59f-f5b4ace446bd,Barbara Jones,PRD4539,Dress,Clothing,Dress,East,Australia,1292.58,3,501.0,0.14,366.09,926.49,30.3,Credit Card,Unpaid,Not Returned,2024-04-24,Delivered
ORD0014,2019-07-10,d5340f34-1c4d-4b6f-a5b9-2b0cfbadd8cd,Robert Murray,PRD8168,Sofa,Furniture,Sofa,East,India,2709.5,9,313.6,0.04,966.55,1742.95,33.33,Net Banking,Unpaid,Returned,2019-07-14,Delayed
ORD0015,2024-11-19,5254d1d0-d143-44a3-8cbb-5154d1287ff0,Darrell Joseph,PRD6141,Chair,Furniture,Chair,East,Australia,3340.77,5,879.15,0.24,1039.22,2301.55,37.34,Cash on Delivery,Unpaid,Not Returned,2024-11-28,Delayed
ORD0016,2024-02-16,ccadbba1-7300-4372-be6a-204e79eb9e39,Elizabeth Cook,PRD1596,Headphones,Electronics,Headphones,West,India,903.69,8,156.89,0.28,126.06,777.63,9.94,Credit Card,Unpaid,Returned,2024-02-23,Delayed
ORD0017,2024-07-26,153fd5c6-b576-4b9f-a268-cc8ae140b4cd,Craig Flores,PRD9472,Snacks,Groceries,Snacks,East,UK,1208.42,3,575.44,0.3,276.82,931.6,14.18,Cash on Delivery,Unpaid,Not Returned,2024-07-31,In Transit
ORD0018,2021-10-30,c2e5ed1d-a394-46cc-a8c0-1e2820c83012,Courtney Daniels,PRD9833,Rice,Groceries,Rice,East,UK,2013.51,4,513.65,0.02,448.38,1565.13,13.59,Net Banking,Pending,Not Returned,2021-11-07,In Transit
ORD0019,2019-11-21,3e40aecf-c511-4af2-8fbe-1bda78f47767,Sean Cummings,PRD9752,Smartphone,Electronics,Smartphone,West,Germany,1933.05,5,552.3,0.3,482.69,1450.36,13.27,Cash on Delivery,Paid,Returned,2019-11-22,Delayed
ORD0020,2020-08-19,2cf7b515-4eca-421e-8f1c-57f3de74c210,Hannah Soto,PRD3905,Oil,Groceries,Oil,East,UK,1742.83,7,273.6,0.09,356.76,1386.07,42.52,Credit Card,Paid,Returned,2020-08-22,In Transit
ORD0021,2021-11-18,fd8a39b4-fca8-4ebf-8748-dac206bc4009,Thomas Knapp,PRD1567,Table,Furniture,Table,East,Germany,4770.23,7,801.72,0.15,1710.23,3060.0,46.99,Credit Card,Paid,Returned,2021-11-20,Delivered
ORD0022,2024-11-22,8170cf80-b6cd-4250-8936-682f7d3e1449,Stacey Allison,PRD6776,Table,Furniture,Table,East,Australia,3025.74,5,657.77,0.08,311.1,2714.64,8.11,UPI,Paid,Not Returned,2024-11-25,In Transit
ORD0023,2021-05-06,059ba6fa-52a7-47b7-a07e-8afd59733df5,Adam Haynes,PRD3523,Oil,Groceries,Oil,East,Australia,90.75,8,14.18,0.2,10.58,80.17,19.34,Credit Card,Pending,Not Returned,2021-05-09,Delivered
ORD0024,2019-10-24,0ed3f363-0387-4e16-9a17-36de62933058,Lisa Davidson,PRD7434,Doll,Toys,Doll,North,Germany,540.96,2,290.84,0.07,170.69,370.27,36.6,Cash on Delivery,Paid,Not Returned,2019-11-02,Delivered
ORD0025,2019-12-11,e9d59212-573a-4f73-97e3-937ae296f70f,Maria Khan,PRD4406,Bookshelf,Furniture,Bookshelf,South,Germany,2061.05,7,392.58,0.25,675.51,1385.54,32.59,Credit Card,Paid,Returned,2019-12-18,Delivered
ORD0026,2022-09-22,44063928-a411-4847-8fb2-953e105a1a30,Diana Payne,PRD6413,Sofa,Furniture,Sofa,East,India,1219.59,7,202.59,0.14,436.65,782.94,7.27,Cash on Delivery,Unpaid,Not Returned,2022-10-02,In Transit
ORD0027,2022-11-27,78027c4b-6810-4df5-b11b-675ecffe4f6b,Mark Parker,PRD1304,Jacket,Clothing,Jacket,West,India,753.21,3,358.67,0.3,122.96,630.25,42.29,UPI,Unpaid,Not Returned,2022-11-29,Delivered
ORD0028,2019-07-11,2a04a71e-f82a-4248-863f-e8c55d521207,George Sharp,PRD9359,Chair,Furniture,Chair,West,Australia,5973.04,9,762.84,0.13,2038.42,3934.62,13.81,Net Banking,Pending,Not Returned,2019-07-17,In Transit
ORD0029,2020-02-09,4b836d84-b32f-4a6f-8cca-b02945bfff97,Kendra Hill,PRD7195,Jeans,Clothing,Jeans,North,India,943.4,5,188.68,0.0,110.2,833.2,27.47,Credit Card,Pending,Not Returned,2020-02-12,In Transit
ORD0030,2022-08-23,b912cf0a-15cb-4681-93a0-d2700a7ffeec,Daniel Williams,PRD2429,Doll,Toys,Doll,West,Australia,73.42,2,45.89,0.2,18.55,54.87,45.37,UPI,Paid,Returned,2022-08-30,Delayed
ORD0031,2022-02-05,d633fc59-7f34-44ed-87d7-0004b8ca4fea,Brenda Gonzalez,PRD9573,Shirt,Clothing,Shirt,West,Australia,2833.26,4,722.77,0.02,704.53,2128.73,48.56,Cash on Delivery,Pending,Not Returned,2022-02-11,Delivered
ORD0032,2019-10-21,065abeb5-3eed-4530-96a0-59ebe6c697c0,Nicholas Vaughan,PRD2667,Action Figure,Toys,Action Figure,North,Australia,613.56,3,255.65,0.2,83.23,530.33,24.1,Cash on Delivery,Paid,Not Returned,2019-10-22,Delayed
ORD0033,2022-04-12,3b133938-f8bf-4162-8b9e-2009fb273247,David Meyers,PRD7983,Snacks,Groceries,Snacks,North,USA,152.51,6,28.56,0.11,59.7,92.81,21.84,UPI,Unpaid,Not Returned,2022-04-20,Delayed
ORD0034,2020-12-26,93f22eb8-8e70-4239-96f3-e8996705ae22,Jesse Hobbs,PRD2426,Oil,Groceries,Oil,West,UK,6425.93,10,892.49,0.28,1652.15,4773.78,6.38,UPI,Paid,Not Returned,2020-12-28,In Transit
ORD0035,2024-08-07,5ccd3e6e-be11-4c9d-ae82-751001743d49,Brenda Fernandez,PRD5487,Snacks,Groceries,Snacks,South,Australia,5059.82,10,549.98,0.08,1822.36,3237.46,23.0,UPI,Paid,Returned,2024-08-13,Delivered
ORD0036,2020-04-19,cf15c56b-987c-43a7-8292-be8d6b419f10,Jared Walsh,PRD3920,Table,Furniture,Table,East,India,153.71,2,83.54,0.08,54.05,99.66,29.34,Credit Card,Paid,Returned,2020-04-29,Delivered
ORD0037,2020-11-02,1af57331-dc2f-4a17-9395-6bb96d5edfee,Kevin Ali,PRD5287,Shirt,Clothing,Shirt,West,Australia,1869.86,8,329.2,0.29,525.57,1344.29,15.69,UPI,Unpaid,Returned,2020-11-10,Delivered
ORD0038,2019-01-12,d57b05db-4b0d-4e14-9754-ba09ac6732bf,Aaron Chavez,PRD1830,Table,Furniture,Table,North,USA,4953.81,6,960.04,0.14,1853.89,3099.92,37.1,UPI,Pending,Not Returned,2019-01-18,Delivered
ORD0039,2019-05-21,a2703263-b8ab-45e1-8ef7-2864ee7d1b78,Charles Williams,PRD4695,Sofa,Furniture,Sofa,South,USA,105.97,1,115.18,0.08,12.5,93.47,31.89,UPI,Unpaid,Returned,2019-05-23,Delivered
ORD0040,2019-06-05,713f1bb4-03a6-44f9-940d-765f9a347431,Cole Fitzpatrick,PRD4498,Sofa,Furniture,Sofa,North,Germany,109.73,5,27.78,0.21,41.17,68.56,16.44,Cash on Delivery,Unpaid,Returned,2019-06-07,In Transit
ORD0041,2021-05-08,0d0aafff-6391-4c3e-8e0e-652615400ea8,Sean Hall,PRD3882,Sofa,Furniture,Sofa,North,Germany,4574.26,6,828.67,0.08,1330.86,3243.4,45.65,UPI,Paid,Returned,2021-05-10,Delayed
ORD0042,2019-12-18,41967e4a-79d5-470f-8674-6d2827935db5,Mary Johnson,PRD1130,Sofa,Furniture,Sofa,East,USA,1254.62,4,352.42,0.11,199.55,1055.07,43.62,Net Banking,Paid,Returned,2019-12-27,Delivered
ORD0043,2024-11-20,ad096633-ea70-40e9-bb5e-5ddc3df79966,Laura Wilson,PRD2886,Sofa,Furniture,Sofa,North,India,1334.55,3,601.15,0.26,461.31,873.24,5.93,UPI,Unpaid,Returned,2024-11-28,In Transit
ORD0044,2023-05-05,8a7f5170-d8e4-4cc1-b16c-a1215609fffe,Kristin Fox,PRD2242,Jeans,Clothing,Jeans,North,Australia,992.74,3,413.64,0.2,374.61,618.13,15.17,Credit Card,Pending,Returned,2023-05-07,Delayed
ORD0045,2023-01-06,020cf8f1-36b3-4d58-9472-e779295751b3,Melissa Kennedy,PRD6223,Rice,Groceries,Rice,North,India,78.68,1,97.14,0.19,14.66,64.02,13.18,Credit Card,Pending,Not Returned,2023-01-13,Delayed
ORD0046,2019-03-19,ec5ecf09-432c-4929-a30b-480d42ce0f29,Timothy Chase,PRD8670,Snacks,Groceries,Snacks,North,USA,348.56,3,135.1,0.14,130.62,217.94,13.39,Credit Card,Pending,Returned,2019-03-21,In Transit
ORD0047,2020-01-03,26e5b78f-8316-43b9-ae96-755900e39534,Ricky Howard,PRD9463,Rice,Groceries,Rice,North,Germany,3476.99,6,715.43,0.19,892.08,2584.91,31.83,UPI,Unpaid,Returned,2020-01-09,Delayed
ORD0048,2020-02-16,b260ffc6-2e24-4b95-b9f7-b501ba2188ce,Peter Fox,PRD3599,Puzzle,Toys,Puzzle,South,USA,1900.63,5,520.72,0.27,505.31,1395.32,12.99,Net Banking,Pending,Returned,2020-02-26,Delivered
ORD0049,2021-01-20,f74e9c51-2fa6-4dfc-9a51-942eac445bed,Patricia Wade,PRD7197,Bookshelf,Furniture,Bookshelf,North,India,4594.35,7,772.16,0.15,660.57,3933.78,29.34,Net Banking,Unpaid,Not Returned,2021-01-24,Delivered
ORD0050,2021-07-30,520131d7-8553-450f-87ac-d0a6313f6f92,Claudia Calderon,PRD2249,Snacks,Groceries,Snacks,North,Australia,816.9,8,136.15,0.25,110.53,706.37,39.21,Credit Card,Unpaid,Not Returned,2021-08-03,Delayed
ORD0051,2019-07-07,5a499fd7-3fd0-467d-8089-c6b6ce4ab3d5,Kevin Edwards,PRD3650,Action Figure,Toys,Action Figure,South,UK,7571.45,9,945.25,0.11,2565.09,5006.36,27.96,Cash on Delivery,Pending,Not Returned,2019-07-16,In Transit
ORD0052,2019-09-08,ae440d18-a11d-4429-a10a-7db346514454,Michael Clark,PRD8400,Headphones,Electronics,Headphones,West,USA,481.11,9,56.27,0.05,142.38,338.73,49.69,Net Banking,Pending,Returned,2019-09-17,Delivered
ORD0053,2021-01-17,19a9b79b-3905-4f79-b1ee-0fa87244fafe,Amanda Wang,PRD8794,Jeans,Clothing,Jeans,East,Germany,7262.11,10,789.36,0.08,854.26,6407.85,43.89,UPI,Pending,Returned,2021-01-19,Delayed
ORD0054,2021-01-19,eca418cb-c7be-4012-9b37-e02b79588eac,Matthew Rubio,PRD9900,Sofa,Furniture,Sofa,East,Germany,2429.13,7,403.51,0.14,788.5,1640.63,22.56,UPI,Unpaid,Not Returned,2021-01-24,Delivered
ORD0055,2019-05-11,98726dde-abaf-4037-8daa-c2b7d5dd2010,Pamela Esparza,PRD1386,Action Figure,Toys,Action Figure,North,USA,1944.36,9,257.19,0.16,583.51,1360.85,20.32,Credit Card,Paid,Not Returned,2019-05-15,In Transit
ORD0056,2023-08-06,660d282c-7348-4897-b78a-c11d948dcdd2,Anne Hill,PRD7610,Oil,Groceries,Oil,East,India,173.85,3,75.26,0.23,21.37,152.48,39.23,Credit Card,Unpaid,Returned,2023-08-11,Delivered
ORD0057,2023-04-24,630d80ef-fe40-44b1-9d2c-6febd2391741,Tammy Stanton,PRD2656,Rice,Groceries,Rice,North,Australia,1418.7,3,531.35,0.11,297.07,1121.63,14.23,Credit Card,Paid,Not Returned,2023-04-25,In Transit
ORD0058,2022-04-04,127b5f1c-f2fc-4e85-bcc6-a2b966e3bfb9,Jonathon Crane,PRD5997,Board Game,Toys,Board Game,West,Germany,3089.06,10,417.44,0.26,1129.51,1959.55,29.05,Credit Card,Pending,Not Returned,2022-04-08,Delivered
ORD0059,2020-06-29,7bd85e03-44fe-44d4-aa2c-88c7105b5025,Debbie Barnett,PRD6399,Laptop,Electronics,Laptop,East,UK,2555.46,7,396.81,0.08,581.4,1974.06,42.76,UPI,Unpaid,Not Returned,2020-07-06,Delayed
ORD0060,2022-07-30,001efa18-d889-4b92-867c-1a0fa2070a85,Lori Mullins,PRD1401,Jeans,Clothing,Jeans,East,UK,324.55,1,463.65,0.3,49.5,275.05,6.37,Credit Card,Unpaid,Not Returned,2022-08-05,In Transit
ORD0061,2023-08-25,1a6f2b45-cbbb-4230-8343-b041145d2234,Amber Little,PRD2842,Smartphone,Electronics,Smartphone,East,USA,4512.17,6,928.43,0.19,1142.07,3370.1,34.32,UPI,Unpaid,Returned,2023-09-03,In Transit
ORD0062,2021-02-02,a082209a-2d47-4eb7-9146-1d8c58acb784,Carol Kelly,PRD3336,Headphones,Electronics,Headphones,North,India,890.69,2,549.81,0.19,191.5,699.19,12.96,Net Banking,Unpaid,Returned,2021-02-11,Delayed
ORD0063,2021-09-21,b22142fa-2562-4a7c-81b7-b70a02dc53c9,Alison Malone,PRD5052,Puzzle,Toys,Puzzle,West,USA,338.8,4,88.23,0.04,41.86,296.94,44.4,Cash on Delivery,Pending,Not Returned,2021-10-01,Delivered
ORD0064,2024-12-13,0560537b-e90b-4d83-a371-2c3eb63f7f5e,Michael Rogers,PRD6505,Board Game,Toys,Board Game,West,USA,125.31,8,17.6,0.11,33.82,91.49,21.08,Credit Card,Pending,Returned,2024-12-18,Delayed
ORD0065,2021-01-29,24ac5b35-5346-42a1-b5fe-8f903ddfb28e,Deanna Peterson,PRD9170,Jeans,Clothing,Jeans,North,Germany,1789.21,8,269.46,0.17,387.94,1401.27,9.79,Credit Card,Unpaid,Returned,2021-02-08,Delivered
ORD0066,2023-02-17,1125f47d-f200-4c09-a4ed-580f21162330,Chris Tran,PRD6416,Doll,Toys,Doll,North,Australia,4228.25,8,644.55,0.18,1132.03,3096.22,32.61,UPI,Pending,Not Returned,2023-02-22,In Transit
ORD0067,2019-08-23,f6786331-49cc-4f57-b7da-860480a31aca,Denise Moreno,PRD9911,Puzzle,Toys,Puzzle,South,Germany,5183.65,8,899.94,0.28,1530.63,3653.02,23.08,Net Banking,Pending,Returned,2019-08-28,In Transit
ORD0068,2023-12-29,8611f375-eec7-4de1-89a8-d67668b958c3,Lisa Sheppard,PRD5010,Doll,Toys,Doll,East,UK,2738.05,4,855.64,0.2,727.53,2010.52,32.88,Credit Card,Unpaid,Not Returned,2024-01-02,Delayed
ORD0069,2024-10-08,c8c2ce9b-ee5d-47f9-833c-f96553f43978,David Mcgrath,PRD8262,Bookshelf,Furniture,Bookshelf,East,Australia,77.84,2,41.85,0.07,29.94,47.9,48.33,Net Banking,Paid,Not Returned,2024-10-09,In Transit
ORD0070,2019-11-08,b1ec20a7-ae21-435b-a69e-948c3928a816,Brandon Snyder,PRD3120,Laptop,Electronics,Laptop,North,India,2019.01,5,498.52,0.19,678.31,1340.7,41.92,Credit Card,Pending,Not Returned,2019-11-18,Delivered
ORD0071,2020-07-08,d50e4216-4e50-4486-879b-658af5971b20,Sara Dickerson,PRD3736,Table,Furniture,Table,West,Germany,733.61,1,833.65,0.12,73.76,659.85,47.67,Credit Card,Pending,Not Returned,2020-07-13,Delivered
ORD0072,2023-12-02,bae3a5af-4dc2-4096-af7d-cd0b3091a82a,Rose Garcia,PRD9066,Sofa,Furniture,Sofa,East,UK,3212.56,6,608.44,0.12,1208.12,2004.44,17.14,Cash on Delivery,Unpaid,Returned,2023-12-11,Delayed
ORD0073,2020-10-17,6a1d864f-b77f-4330-896f-fbe5dcd03699,Jessica Miller,PRD1727,Sofa,Furniture,Sofa,West,UK,5412.54,8,902.09,0.25,934.36,4478.18,21.54,UPI,Paid,Returned,2020-10-19,In Transit
ORD0074,2023-12-24,dafc033b-16a8-4274-9a60-5b1fc0ba028e,Debra Stewart,PRD1282,Smartphone,Electronics,Smartphone,North,USA,951.68,2,485.55,0.02,309.54,642.14,48.09,Cash on Delivery,Paid,Not Returned,2023-12-27,Delayed
ORD0075,2021-05-17,3b5ee6d6-0b26-4b3c-a2bb-ba2f1e7f8c45,Rachel Williams,PRD9539,Oil,Groceries,Oil,East,UK,2730.11,5,620.48,0.12,333.17,2396.94,7.76,UPI,Paid,Not Returned,2021-05-26,Delayed
ORD0076,2021-06-25,006aaa5e-8e72-449f-a176-f1a3822268e3,Clayton Beasley,PRD5197,Puzzle,Toys,Puzzle,North,India,1219.3,4,417.57,0.27,380.03,839.27,21.39,Credit Card,Unpaid,Returned,2021-06-30,Delayed
ORD0077,2023-03-20,f8497a70-693d-4ad5-a68f-9baf4ff95ee0,Jody Hutchinson,PRD4118,Laptop,Electronics,Laptop,East,India,629.07,8,92.51,0.15,101.32,527.75,32.01,Cash on Delivery,Paid,Returned,2023-03-21,Delivered
ORD0078,2021-11-09,c4a521ea-7afc-46f4-a6af-6e12b076dc9b,Sheila Schneider,PRD2044,Headphones,Electronics,Headphones,West,UK,2478.77,4,729.05,0.15,316.12,2162.65,36.65,Net Banking,Pending,Not Returned,2021-11-17,In Transit
ORD0079,2020-01-03,d03cb12c-cea1-4a8b-96a2-60aa37bf7be2,Laura Bishop,PRD4902,Smartwatch,Electronics,Smartwatch,South,USA,1686.01,8,288.7,0.27,210.37,1475.64,34.28,UPI,Unpaid,Returned,2020-01-08,Delivered
ORD0080,2019-04-03,7ffd12da-e6cb-4c83-adb4-6d5f41ec0ab4,Amy Hopkins,PRD7136,Doll,Toys,Doll,South,UK,1294.7,2,744.08,0.13,210.79,1083.91,14.52,Credit Card,Unpaid,Returned,2019-04-11,Delayed
ORD0081,2020-12-01,8c074f36-7839-4ab2-a0bb-ed2395f4f399,Shannon Jones,PRD3793,Dress,Clothing,Dress,North,Australia,5367.38,9,828.3,0.28,601.85,4765.53,33.68,Cash on Delivery,Pending,Not Returned,2020-12-09,Delayed
ORD0082,2023-01-31,f0f742ee-171d-4783-9929-a326b1d99fb3,Johnny Garcia,PRD1168,Snacks,Groceries,Snacks,North,India,1806.11,10,234.56,0.23,596.58,1209.53,29.18,Cash on Delivery,Pending,Returned,2023-02-04,In Transit
ORD0083,2020-07-26,d77090d2-fda5-41fa-a2ca-a71b6a3204e1,Michael Lloyd,PRD8187,Headphones,Electronics,Headphones,East,Australia,177.54,7,26.42,0.04,37.67,139.87,48.29,Credit Card,Paid,Not Returned,2020-08-05,In Transit
ORD0084,2019-09-19,7e2e5a18-3c3b-42f8-977e-560ffb5fb15d,Linda Walsh,PRD1528,Doll,Toys,Doll,East,Australia,5078.3,10,626.95,0.19,1664.71,3413.59,22.98,UPI,Unpaid,Returned,2019-09-26,Delivered
ORD0085,2020-10-25,94c47f97-59a2-478f-8d6d-25a9c082d92d,Mr. Christopher Beltran DDS,PRD1221,Board Game,Toys,Board Game,East,UK,4194.66,8,546.18,0.04,796.63,3398.03,19.2,Cash on Delivery,Paid,Returned,2020-10-26,Delivered
ORD0086,2020-07-12,1fbc5933-b397-4c07-8e9d-3f87b4a12989,Kaitlyn Castillo,PRD1761,Doll,Toys,Doll,North,USA,889.19,2,511.03,0.13,94.38,794.81,28.93,Credit Card,Paid,Not Returned,2020-07-13,In Transit
ORD0087,2022-08-23,4c6b2c6b-a3eb-40ae-931d-8b2f0d5ed1bc,Nancy Johnson,PRD2873,Action Figure,Toys,Action Figure,East,Australia,3850.24,7,733.38,0.25,908.2,2942.04,49.32,Net Banking,Unpaid,Not Returned,2022-08-25,Delivered
ORD0088,2019-10-14,4ae4ef95-7606-40d2-8bb2-57c02d68328d,Lori Gonzalez,PRD7004,Headphones,Electronics,Headphones,North,Germany,595.75,1,676.99,0.12,117.05,478.7,38.7,Net Banking,Pending,Returned,2019-10-22,Delivered
ORD0089,2023-08-29,7c557d66-cc26-4858-a361-d53f820e839b,Gregory Henderson,PRD6253,Table,Furniture,Table,East,USA,3663.94,4,954.15,0.04,842.73,2821.21,7.54,Credit Card,Paid,Returned,2023-09-04,In Transit
ORD0090,2024-04-22,a41373ae-18b7-40c7-8414-6796b49d4fe1,Michael Phillips,PRD4948,Sofa,Furniture,Sofa,South,USA,275.23,2,160.02,0.14,110.01,165.22,20.76,Net Banking,Pending,Returned,2024-04-27,Delivered
ORD0091,2020-12-30,9048d3cc-4514-4e10-9b75-82c0f10d7d46,Matthew Ramirez,PRD8390,Laptop,Electronics,Laptop,South,UK,721.31,5,175.93,0.18,222.9,498.41,29.24,Net Banking,Unpaid,Not Returned,2021-01-03,Delivered
ORD0092,2021-06-02,b9af8b09-fe0a-4bd8-8973-fca2509963ec,Jennifer Butler,PRD6583,Laptop,Electronics,Laptop,North,Germany,3413.75,6,661.58,0.14,1027.35,2386.4,22.54,Net Banking,Paid,Not Returned,2021-06-10,In Transit
ORD0093,2019-01-24,6618451c-2f70-449f-92b9-5f5f9db48d7b,Shannon Russell,PRD1946,Table,Furniture,Table,West,India,352.18,2,202.4,0.13,105.05,247.13,18.43,Cash on Delivery,Unpaid,Returned,2019-01-25,Delayed
ORD0094,2022-05-16,6ecf628b-e9fb-4817-a16e-caaba7e1c3d7,Richard Richardson,PRD4033,Bookshelf,Furniture,Bookshelf,North,USA,1117.95,4,303.79,0.08,367.75,750.2,44.97,UPI,Unpaid,Returned,2022-05-22,Delayed
ORD0095,2023-03-13,add82409-278e-48be-815e-6f30fa74bb62,Robert Miranda,PRD4134,Puzzle,Toys,Puzzle,North,Germany,1416.64,5,292.09,0.03,313.64,1103.0,27.09,Credit Card,Paid,Not Returned,2023-03-17,In Transit
ORD0096,2020-11-27,ff742b80-1261-46ea-a501-2da668fce970,Edward Jacobs,PRD8202,Shirt,Clothing,Shirt,West,UK,1479.28,5,416.7,0.29,262.59,1216.69,35.86,UPI,Paid,Not Returned,2020-12-05,Delayed
ORD0097,2019-11-28,4c59da29-32bf-475b-a138-66063a10c363,Stefanie Olson,PRD8522,Snacks,Groceries,Snacks,East,Australia,1755.13,9,260.02,0.25,230.34,1524.79,16.97,Credit Card,Paid,Not Returned,2019-12-06,In Transit
ORD0098,2020-02-29,61f5b9e0-6151-4f42-99ff-85385970309c,Nicole Wiggins,PRD9378,Bookshelf,Furniture,Bookshelf,North,USA,3950.28,7,732.89,0.23,1430.67,2519.61,40.04,Cash on Delivery,Pending,Not Returned,2020-03-10,In Transit
ORD0099,2021-04-18,5737cc5f-2d57-4351-bd1b-8708c9d20dea,Cody Reyes,PRD8801,Jacket,Clothing,Jacket,North,UK,3141.71,4,892.53,0.12,894.03,2247.68,41.98,Net Banking,Paid,Returned,2021-04-19,In Transit
ORD0100,2022-10-23,d584b26a-d80e-454f-b745-88b6a3e9a4fc,Timothy Williams,PRD8005,Jeans,Clothing,Jeans,West,India,206.85,8,32.32,0.2,61.6,145.25,33.15,UPI,Pending,Not Returned,2022-10-29,In Transit
ORD0101,2023-11-11,68a21bb6-fe96-4fc3-9381-8466bb5eaa89,Devin Brandt,PRD5581,Jacket,Clothing,Jacket,South,India,5341.77,10,763.11,0.3,817.2,4524.57,9.22,UPI,Pending,Not Returned,2023-11-19,In Transit
ORD0102,2023-05-30,93381071-c0ed-4cf2-aa3c-7b6856d32336,Anna Herrera,PRD2577,Shirt,Clothing,Shirt,North,Germany,174.44,1,232.59,0.25,31.66,142.78,32.44,Cash on Delivery,Pending,Returned,2023-06-08,Delivered
ORD0103,2021-12-18,ef288401-ed42-4b69-a619-a70a4c97e74d,Tiffany Martinez,PRD5540,Shirt,Clothing,Shirt,West,Germany,776.0,6,179.63,0.28,139.56,636.44,25.6,UPI,Pending,Not Returned,2021-12-26,Delayed
ORD0104,2024-03-21,c8c67a0b-d128-434d-9d65-ccb4df0145eb,Donna Molina,PRD7231,Laptop,Electronics,Laptop,East,USA,1333.31,5,296.29,0.1,516.82,816.49,43.64,Net Banking,Pending,Returned,2024-03-22,Delivered
ORD0105,2022-12-27,43415fae-dfcf-4843-9c20-3671d7cce6d2,Tyler Tran,PRD2803,Smartphone,Electronics,Smartphone,East,UK,1354.1,5,270.82,0.0,460.54,893.56,6.65,Net Banking,Pending,Returned,2023-01-06,Delivered
ORD0106,2022-09-15,ae6684f2-5af8-423a-9c2e-b33c66bfed89,Laura Kerr,PRD2570,Laptop,Electronics,Laptop,North,UK,796.91,3,368.94,0.28,211.95,584.96,42.69,Net Banking,Unpaid,Not Returned,2022-09-16,Delayed
